product_id,product_name,sku,category,brand,price,discount_percent,stock_quantity,description,rating,is_active,created_at
1,Laptop Model 124,SKU-100001,Laptops,Acer,1542,46,552,Laptop Model 124 by Acer,2.8,TRUE,2025-01-12T07:11:55.094
2,Smartphone Model 907,SKU-100002,Mobile Phones,Apple,595,27,800,Smartphone Model 907 by Apple,4.4,TRUE,2023-08-23T07:11:55.097
3,Smart Watch Model 613,SKU-100003,Wearables,Xiaomi,581,8,963,Smart Watch Model 613 by Xiaomi,4.3,TRUE,2024-09-02T07:11:55.097
4,Monitor Model 445,SKU-100004,Computer Accessories,Samsung,101,4,218,Monitor Model 445 by Samsung,3.8,TRUE,2025-04-23T07:11:55.097
5,Camera Model 723,SKU-100005,Cameras,Logitech,1199,40,175,Camera Model 723 by Logitech,3.7,TRUE,2024-06-24T07:11:55.097
6,Mouse Model 459,SKU-100006,Computer Accessories,Samsung,148,31,520,Mouse Model 459 by Samsung,1.3,TRUE,2025-07-27T07:11:55.097
7,Smartphone Model 611,SKU-100007,Mobile Phones,Dell,1485,46,239,Smartphone Model 611 by Dell,4,TRUE,2025-02-11T07:11:55.097
8,Monitor Model 656,SKU-100008,Computer Accessories,Apple,261,14,84,Monitor Model 656 by Apple,4.8,TRUE,2025-11-08T07:11:55.097
9,Keyboard Model 473,SKU-100009,Computer Accessories,Logitech,228,13,946,Keyboard Model 473 by Logitech,5,TRUE,2024-04-12T07:11:55.097
10,Smartphone Model 966,SKU-100010,Mobile Phones,Sony,895,2,293,Smartphone Model 966 by Sony,3.5,FALSE,2026-01-02T07:11:55.097
11,Smartphone Model 314,SKU-100011,Mobile Phones,Logitech,1093,35,615,Smartphone Model 314 by Logitech,4.5,FALSE,2025-06-13T07:11:55.097
12,Monitor Model 191,SKU-100012,Computer Accessories,Sony,108,12,23,Monitor Model 191 by Sony,1.6,TRUE,2025-07-23T07:11:55.099
13,Smart Watch Model 863,SKU-100013,Wearables,Logitech,574,22,95,Smart Watch Model 863 by Logitech,2.4,TRUE,2023-08-06T07:11:55.099
14,Camera Model 245,SKU-100014,Cameras,Apple,1316,28,445,Camera Model 245 by Apple,3.2,TRUE,2025-03-30T07:11:55.099
15,Monitor Model 830,SKU-100015,Computer Accessories,HP,147,2,820,Monitor Model 830 by HP,1.9,TRUE,2025-02-18T07:11:55.099
16,Laptop Model 324,SKU-100016,Laptops,Dell,2221,4,379,Laptop Model 324 by Dell,2.6,TRUE,2024-05-07T07:11:55.099
17,Smart Watch Model 989,SKU-100017,Wearables,Acer,537,34,541,Smart Watch Model 989 by Acer,4.4,TRUE,2023-12-18T07:11:55.099
18,Smart Watch Model 347,SKU-100018,Wearables,Lenovo,426,3,518,Smart Watch Model 347 by Lenovo,1.8,TRUE,2024-01-29T07:11:55.099
19,Mouse Model 890,SKU-100019,Computer Accessories,HP,49,25,950,Mouse Model 890 by HP,2.6,TRUE,2024-01-19T07:11:55.099
20,Laptop Model 663,SKU-100020,Laptops,Acer,3098,25,802,Laptop Model 663 by Acer,4.3,TRUE,2024-04-06T07:11:55.099
21,Mouse Model 415,SKU-100021,Computer Accessories,Lenovo,322,43,459,Mouse Model 415 by Lenovo,2.3,TRUE,2024-10-28T07:11:55.099
22,Monitor Model 284,SKU-100022,Computer Accessories,Xiaomi,162,9,402,Monitor Model 284 by Xiaomi,2,TRUE,2025-05-12T07:11:55.099
23,Monitor Model 476,SKU-100023,Computer Accessories,Samsung,234,45,927,Monitor Model 476 by Samsung,1.2,TRUE,2024-02-01T07:11:55.099
24,Mouse Model 385,SKU-100024,Computer Accessories,Logitech,83,29,970,Mouse Model 385 by Logitech,3.7,TRUE,2026-01-09T07:11:55.099
25,Smart Watch Model 222,SKU-100025,Wearables,Sony,356,6,414,Smart Watch Model 222 by Sony,4.9,FALSE,2024-01-14T07:11:55.099
26,Smartphone Model 643,SKU-100026,Mobile Phones,Xiaomi,874,38,581,Smartphone Model 643 by Xiaomi,4.8,TRUE,2025-01-16T07:11:55.099
27,Keyboard Model 739,SKU-100027,Computer Accessories,Lenovo,203,40,819,Keyboard Model 739 by Lenovo,1.3,TRUE,2024-08-08T07:11:55.101
28,Mouse Model 937,SKU-100028,Computer Accessories,Acer,99,16,401,Mouse Model 937 by Acer,2.7,TRUE,2025-07-20T07:11:55.101
29,Tablet Model 746,SKU-100029,Tablets,Acer,994,26,134,Tablet Model 746 by Acer,3.2,TRUE,2023-11-07T07:11:55.101
30,Keyboard Model 345,SKU-100030,Computer Accessories,Acer,289,15,394,Keyboard Model 345 by Acer,3.5,TRUE,2025-11-07T07:11:55.101
31,Monitor Model 899,SKU-100031,Computer Accessories,Acer,241,13,505,Monitor Model 899 by Acer,1.5,TRUE,2025-07-20T07:11:55.101
32,Printer Model 321,SKU-100032,Office Equipment,Acer,633,40,999,Printer Model 321 by Acer,4.9,TRUE,2025-01-26T07:11:55.101
33,Mouse Model 455,SKU-100033,Computer Accessories,Samsung,174,36,318,Mouse Model 455 by Samsung,1.1,TRUE,2024-09-14T07:11:55.101
34,Headphone Model 890,SKU-100034,Audio,Logitech,333,21,380,Headphone Model 890 by Logitech,4.2,TRUE,2025-08-25T07:11:55.101
35,Headphone Model 379,SKU-100035,Audio,Samsung,390,47,737,Headphone Model 379 by Samsung,5,TRUE,2024-07-26T07:11:55.101
36,Printer Model 845,SKU-100036,Office Equipment,HP,932,8,983,Printer Model 845 by HP,2.4,TRUE,2023-08-19T07:11:55.101
37,Tablet Model 885,SKU-100037,Tablets,Sony,797,42,653,Tablet Model 885 by Sony,4.7,TRUE,2024-10-24T07:11:55.101
38,Laptop Model 594,SKU-100038,Laptops,Apple,1769,46,121,Laptop Model 594 by Apple,1.9,TRUE,2023-07-25T07:11:55.101
39,Laptop Model 822,SKU-100039,Laptops,Acer,2964,4,890,Laptop Model 822 by Acer,3,TRUE,2025-02-22T07:11:55.101
40,Keyboard Model 842,SKU-100040,Computer Accessories,Logitech,140,23,814,Keyboard Model 842 by Logitech,2.9,TRUE,2023-09-23T07:11:55.101
41,Camera Model 895,SKU-100041,Cameras,Logitech,1730,8,893,Camera Model 895 by Logitech,1.6,TRUE,2025-06-13T07:11:55.101
42,Smart Watch Model 233,SKU-100042,Wearables,Samsung,311,35,153,Smart Watch Model 233 by Samsung,2.1,TRUE,2023-08-16T07:11:55.101
43,Tablet Model 285,SKU-100043,Tablets,Asus,225,39,648,Tablet Model 285 by Asus,4.1,TRUE,2024-08-06T07:11:55.101
44,Smart Watch Model 422,SKU-100044,Wearables,Logitech,597,0,173,Smart Watch Model 422 by Logitech,3.8,TRUE,2025-07-30T07:11:55.103
45,Headphone Model 189,SKU-100045,Audio,Lenovo,395,13,551,Headphone Model 189 by Lenovo,4.2,FALSE,2024-03-05T07:11:55.103
46,Smartphone Model 181,SKU-100046,Mobile Phones,Dell,1066,12,236,Smartphone Model 181 by Dell,3.4,TRUE,2024-05-10T07:11:55.103
